fecha,datatype,station,value,fl_m,fl_q,fl_so,fl_t,units
2017-10-28,PRCP,GHCND:AR000875850,8,,,S,,mm_tenths
2017-10-29,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-10-30,PRCP,GHCND:AR000875850,279,,,S,,mm_tenths
2017-10-31,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-11-08,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-11-16,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2017-11-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-11-20,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-11-21,PRCP,GHCND:AR000875850,191,,,S,,mm_tenths
2017-11-22,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-11-23,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-11-24,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-03,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-12-04,PRCP,GHCND:AR000875850,160,,,S,,mm_tenths
2017-12-05,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-07,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-08,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-14,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2017-12-15,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-17,PRCP,GHCND:AR000875850,480,,,S,,mm_tenths
2017-12-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-19,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2017-12-20,PRCP,GHCND:AR000875850,119,,,S,,mm_tenths
2017-12-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-22,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2017-12-23,PRCP,GHCND:AR000875850,109,,,S,,mm_tenths
2017-12-24,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2017-12-31,PRCP,GHCND:AR000875850,41,,,S,,mm_tenths
2018-01-14,PRCP,GHCND:AR000875850,150,,,S,,mm_tenths
2018-01-15,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2018-01-16,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-01-18,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-01-19,PRCP,GHCND:AR000875850,10,,,S,,mm_tenths
2018-01-20,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-01-23,PRCP,GHCND:AR000875850,8,,,S,,mm_tenths
2018-01-24,PRCP,GHCND:AR000875850,61,,,S,,mm_tenths
2018-01-25,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-01-26,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-01-27,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-01-28,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-02-09,PRCP,GHCND:AR000875850,20,,,S,,mm_tenths
2018-02-10,PRCP,GHCND:AR000875850,150,,,S,,mm_tenths
2018-02-11,PRCP,GHCND:AR000875850,89,,,S,,mm_tenths
2018-02-12,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-02-19,PRCP,GHCND:AR000875850,221,,,S,,mm_tenths
2018-02-20,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2018-02-21,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-02-22,PRCP,GHCND:AR000875850,5,,,S,,mm_tenths
2018-02-23,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-03-01,PRCP,GHCND:AR000875850,3,,,S,,mm_tenths
2018-03-02,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-03-15,PRCP,GHCND:AR000875850,191,,,S,,mm_tenths
2018-03-16,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-03-17,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-03-18,PRCP,GHCND:AR000875850,290,,,S,,mm_tenths
2018-03-19,PRCP,GHCND:AR000875850,30,,,S,,mm_tenths
2018-03-20,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-03-23,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
2018-03-24,PRCP,GHCND:AR000875850,119,,,S,,mm_tenths
2018-03-25,PRCP,GHCND:AR000875850,71,,,S,,mm_tenths
2018-03-26,PRCP,GHCND:AR000875850,0,,,S,,mm_tenths
